Question	Which of these will best separate iron filings from sand?	question
Answer	a magnet	answer
0	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	gold
1	iron filings are made of small pieces of iron	gold
2	filings are a kind of object	nongold
3	a magnet is a kind of object	nongold
4	sand is always nonmagnetic	gold
5	sand is made of very small rocks; minerals	nongold
6	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
7	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	gold
8	to disperse means to separate	nongold
9	sand  is a kind of material	nongold
10	sand  is a kind of solid	nongold
11	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
12	sand  is a kind of substance	nongold
13	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
14	sand is made of small particles	nongold
15	Magnetite is always magnetic	nongold
16	iron is always magnetic	nongold
17	metal is sometimes magnetic	nongold
18	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
19	soft iron; iron is always ferromagnetic; magnetic	gold
20	silica sand is a kind of sand	nongold
21	iron is a kind of metal	nongold
22	separate is similar to break down	nongold
23	metal is a kind of material	nongold
24	separating is similar to breaking	nongold
25	a rock is a kind of object	nongold
26	iron is a kind of solid	nongold
27	rock is a kind of material	nongold
28	to decompose means to separate	nongold
29	sand is insoluble in water	nongold
30	sand is insoluble in water	nongold
31	if something is insoluble in something , then they will remain separated	nongold
32	objects are made of materials; substances; matter	nongold
33	if an object is made of a material then that object has the properties of that material	nongold
34	metal is a kind of substance	nongold
35	sand  is a kind of mixture	nongold
36	if something contains a large amount of magnetic material then that something will attract magnets	nongold
37	sand is similar to soil	nongold
38	a rock is usually a solid	nongold
39	steel is a kind of metal	nongold
40	steel; carbon steel is always ferromagnetic; magnetic	nongold
41	a magnet contains a north pole; south pole	nongold
42	materials are made of matter	nongold
43	evaporation can be used for separating a mixture of a liquid and a solid	nongold
44	iron is a kind of mineral	nongold
45	iron is a kind of element	nongold
46	aluminum is always nonmagnetic	nongold
47	clay is a kind of material	nongold
48	a metal is usually a solid at room temperature	nongold
49	decomposing is similar to separating	nongold
50	clay is always nonmagnetic	nongold
51	substances are made of matter	nongold
52	a sieve can be used for separating a mixture of different sized solids	nongold
53	a metal is a kind of element	nongold
54	Barite is always magnetic	nongold
55	Franklinite is always magnetic	nongold
56	aluminum is a kind of metal	nongold
57	an object is made of its parts	nongold
58	tungsten is a kind of metal	nongold
59	magnetism is a kind of physical property	nongold
60	magnetic force means magnetism	nongold
61	to group means to separate	nongold
62	granite is a kind of nonmetal	nongold
63	conductivity is a property of a material; substance	nongold
64	sand is denser than water	nongold
65	a tool is a kind of object	nongold
66	metals are made of metal	nongold
67	heat means heat energy	nongold
68	transferring a section of something requires separating the section of something	nongold
69	deposition is a kind of constructive force	nongold
70	An example of a mixture is sand; clay; soil mixed together	nongold
71	conductivity is a kind of physical property	nongold
72	a mineral is a kind of solid; natural material	nongold
73	an element is a kind of material	nongold
74	composed of means made of	nongold
75	a mineral is a kind of object	nongold
76	aluminum is a kind of matter	nongold
77	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
78	electric currents produce magnetic fields	nongold
79	a crayon is a kind of solid	nongold
80	Magnetoplumbite is always magnetic	nongold
81	chromium is a kind of metal	nongold
82	magnetism is a kind of force	nongold
83	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
84	a magnetic field is a kind of force	nongold
85	salt is always nonmagnetic	nongold
86	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
87	plastic is always nonmagnetic	nongold
88	manganese is a kind of metal	nongold
89	zinc is always nonmagnetic	nongold
90	gravel is always nonmagnetic	nongold
91	bronze is always nonmagnetic	nongold
92	Siderite is always magnetic	nongold
93	stainless steel is always magnetic; nonmagnetic	nongold
94	if an object is made of something then the parts of that object are made of that something	nongold
95	a type is synonymous with a kind	nongold
96	if something is made of something else then that something can be broken down into that something else	nongold
97	rock is made of minerals	nongold
98	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
99	magnetism can cause objects to repel each other	nongold
