Question	What is significant about the discovery of water on Mars?	question
Answer	It provides evidence there may be life on Mars.	answer
0	Mars is a kind of planet	gold
1	Mars is a kind of inner planet	nongold
2	Mars contains ice	nongold
3	an aquatic animal is a kind of animal	nongold
4	aquatic animal means water animal	nongold
5	aquatic animals; plants live in bodies of water	nongold
6	life means living things	gold
7	an animal is a kind of living thing	nongold
8	Mars is the planet that is fourth closest to the  Sun	nongold
9	an animal is a kind of organism	nongold
10	organisms mean life	nongold
11	a deep sea animal is a kind of marine organism	nongold
12	organisms lived in the water when they first appeared on Earth	nongold
13	to provide something means to be the source of that something	nongold
14	an ocean is a kind of body of water	nongold
15	an organism is a living thing	nongold
16	if a living thing requires something then that something has a positive impact on that living thing	nongold
17	a human is a kind of animal	nongold
18	water is a part of an environment	nongold
19	ocean animal is similar to water animal	nongold
20	a body of water is a kind of environment	nongold
21	humans live on land	nongold
22	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
23	an environment means an area	nongold
24	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
25	animals; living things live and feed in their habitats; near their habitats	nongold
26	organisms are a part of an environment	nongold
27	to discover means to make a discovery	nongold
28	a fish lives in water	nongold
29	water is a kind of liquid at room temperature	nongold
30	if something is a part of something then that something can be found in that something	nongold
31	organisms are located on Earth's surface	nongold
32	an ecosystem contains a large community of; large numbers of living organisms	nongold
33	vegetation means plants	nongold
34	Earth is greater in mass than Mars	nongold
35	algae is a kind of living thing	nongold
36	a body of water contains water	nongold
37	bodies of water are located on Earth's surface	nongold
38	a crab is a kind of water animal	nongold
39	an animal is a member of an animal species	nongold
40	a fish is a kind of animal	nongold
41	a worm is a kind of animal	nongold
42	being used for is similar to providing	nongold
43	a living thing is a kind of object	nongold
44	a fungus is a kind of living thing	nongold
45	an environment is similar to an ecosystem	nongold
46	if a living thing dies then that living thing is dead	nongold
47	a fungus is a kind of organism	nongold
48	if a planet contains liquid water , then life can develop on that planet	nongold
49	water is a kind of nonliving thing	nongold
50	animals; living things require water for survival	gold
51	fish have been on Earth for 419000000 years	nongold
52	an algae is a kind of organism	nongold
53	an ecosystem contains nonliving things	nongold
54	an environment is a kind of place	nongold
55	a fish is a kind of aquatic animal	nongold
56	cold-water coral live in cold water	nongold
57	most predators live in; live near the same environment as their prey	nongold
58	oceans are located on Earth	nongold
59	an ocean is a kind of habitat	nongold
60	a planet is a kind of place	gold
61	death means to die	nongold
62	oceans contains most of  earth's water	nongold
63	discovering something usually requires seeing that something	nongold
64	an island is a kind of landform	nongold
65	a mammal is a kind of animal	nongold
66	water is a kind of substance	nongold
67	a result of something is evidence of that something	nongold
68	a worm is a kind of living thing	nongold
69	deep sea animals live deep in the ocean	nongold
70	a plant is a kind of organism	nongold
71	water exists in three states on Earth	nongold
72	water is a kind of natural resource	nongold
73	water is a kind of natural resource	nongold
74	plants are a part of the environment	nongold
75	cold environments contain few organisms	nongold
76	to discover means to find	nongold
77	a body of water is a kind of land feature	nongold
78	person is synonymous with human	nongold
79	an animal; living thing requires nutrients for survival	nongold
80	a mushroom is a kind of fungus	nongold
81	organisms can be found in their habitats	nongold
82	harming an environment causes harm to the living things; to the organisms in that environment	nongold
83	sea means ocean	nongold
84	species means a group of like organisms	nongold
85	algae is a kind of plant	nongold
86	liquid water is available  for organisms	nongold
87	an insect is a kind of animal	nongold
88	a mollusk is a kind of animal	nongold
89	a plants; living things require water for survival; to grow	nongold
90	nonliving; non-living; die is the opposite of living; alive; live	nongold
91	if something required by something else is in a place then that something else may be in that place	gold
92	the Earth contains many ecosystems	nongold
93	many animals are herbivores	nongold
94	if there is none of a thing then that thing does not exist	nongold
95	an ecosystem is a kind of habitat	nongold
96	algae is found in bodies of water	nongold
97	oceans cover 70% of the surface of the earth	nongold
98	the Mars Rover is a kind of vehicle	nongold
99	a plant is a kind of living thing	nongold
