Question	Which of the following is a similarity 20 between x-ray waves and sound waves?	question
Answer	Both transfer energy.	answer
0	an x ray is a kind of electromagnetic energy	nongold
1	x-rays transfer energy	gold
2	similarity means the same property	nongold
3	sound wave is a kind of wave	nongold
4	x-ray is a kind of ionizing radiation	nongold
5	sound waves means sound energy	nongold
6	sound waves transfer energy	gold
7	sound energy is transferred by vibrational waves	nongold
8	sound wave is similar to sound	nongold
9	sound wave is a kind of mechanical wave	nongold
10	all waves transfer; transmit energy from one place to another	nongold
11	electromagnetic energy is a kind of energy	nongold
12	sound means sound energy	nongold
13	radiation is when electromagnetic waves transfers heat and light energy	nongold
14	sound is a kind of energy	nongold
15	both means two	nongold
16	electromagnetic energy travels as electromagnetic waves	nongold
17	electromagnetic wave is a kind of  wave	nongold
18	a wave is a kind of object	nongold
19	sound is a kind of sound energy	nongold
20	to send means to transfer	nongold
21	electromagnetic radiation means electromagnetic energy	nongold
22	to transfer is similar to transport	nongold
23	electromagnetic wave is not a mechanical wave	nongold
24	to conduct is similar to to transfer	nongold
25	convert is similar to transfer	nongold
26	frequency is a property of a wave; a particel of light; an event	nongold
27	high-frequency sound waves have low; short wavelengths	nongold
28	x-rays are used in medical technology	nongold
29	if something transfers something else then that something is a source of something else	nongold
30	transfer is a kind of change	nongold
31	wave motion is transferred from the source to matter to produce sound	nongold
32	to pass means to transfer	nongold
33	radiation is when heat is transferred through waves; particles	nongold
34	light is a kind of electromagnetic radiation	nongold
35	particles in objects are a kind of matter	nongold
36	a living thing is a kind of object	nongold
37	transferring is similar to giving	nongold
38	light rays means light	nongold
39	if two objects are similar , then the two objects share properties	nongold
40	matter; materials; substances are made of atoms; particles	nongold
41	a vibration is similar to a wave	nongold
42	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
43	vibration is a kind of motion	nongold
44	to tell the difference between things means to classify those things	nongold
45	sound requires matter to travel	nongold
46	if something transfers energy to something else then that something else absorbs that energy	nongold
47	acoustic signal is a kind of sound wave	nongold
48	transferring is similar to adding	nongold
49	x-rays can pass through some parts of the body	nongold
50	the number of parts of something is a property of that something	nongold
51	transfer is a kind of process	nongold
52	light is a kind of wave	nongold
53	waves can travel through matter	nongold
54	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
55	if two objects are apart from each other then matter is between those two objects	nongold
56	transferring is moving from one place to another place	nongold
57	the properties of something are used for describing that something	nongold
58	state of matter is a kind of physical property	nongold
59	a physical property is a kind of property	nongold
60	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
61	can be means able to be	nongold
62	vibrations are a source of sound	nongold
63	waves contain mechanical energy	nongold
64	objects are made of materials; substances; matter	nongold
65	amount is similar to number	nongold
66	form means kind	nongold
67	a wave is formed by the vibration of the source spreading around from the source	nongold
68	a particle is a kind of object	nongold
69	an part of an object is smaller than the entire object	nongold
70	if two things are made from the same objects; material then those two things are similar	nongold
71	classifying is when one sorts something by kind; type	nongold
72	a structure of something is synonymous with a part of that something	nongold
73	the  property of something is the same for the things of same kind	nongold
74	composed of means made of	nongold
75	wavelength is a property of wave	nongold
76	an object has properties	nongold
77	material means substance	nongold
78	four is a kind of number	nongold
79	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
80	answering questions requires information	nongold
81	all the other means the rest of	nongold
82	classifying means grouping objects; materials by their properties	nongold
83	to transfer means to bring; to get something to	nongold
84	high is similar to increase	nongold
85	a component of something means a part of that something	nongold
86	a type is synonymous with a kind	nongold
87	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
88	to be made of something means to be formed of that something	nongold
89	radiation means radiant energy	nongold
90	radio wave is a kind of electromagnetic wave	nongold
91	characteristic means property	nongold
92	a property is similar to a factor	nongold
93	all electromagnetic waves have the same speed of 300000 km/s	nongold
94	if something is made of something else then that something can be broken down into that something else	nongold
95	one is a kind of number	nongold
96	identical means copy	nongold
97	light is a kind of energy	nongold
98	light is a kind of energy	nongold
99	a component means a part of	nongold
