Question	A student mixed salt and sugar. Which statement describes the physical properties of salt and sugar after they were mixed?	question
Answer	The sugar and the salt were unchanged.	answer
0	salt is a kind of pure substance	gold
1	a student is a kind of human	nongold
2	unchanged means not changed	nongold
3	salt is a kind of solid	nongold
4	changed is the opposite of unchanged	nongold
5	sugar is a kind of pure substance	gold
6	salt is soluble in water	nongold
7	sugar dissolves in water when they are combined	nongold
8	a mixture usually is made of objects with different physical properties	nongold
9	In the solution salt water , the solute is salt	nongold
10	sugar is a kind of solid	nongold
11	if something undergoes physical change then the chemical properties of that something will remain unchanged	gold
12	sugar is a kind of food	nongold
13	an mixture is formed by two or more substances combined together physically	nongold
14	the properties of something are used for describing that something	nongold
15	the  property of something is the same for the things of same kind	nongold
16	a physical property is a kind of property	nongold
17	a chemical property is the opposite of a physical property	nongold
18	table salt is a kind of salt	nongold
19	state of matter is a kind of physical property	nongold
20	salt water is made of salt and water	nongold
21	mixture means solids combined together that maintain their physical properties	nongold
22	both means two	nongold
23	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
24	a mixture is a kind of substance	nongold
25	chemical change is the opposite of physical change	nongold
26	state of matter at room temperature is a kind of physical property	nongold
27	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
28	substances are made of matter	nongold
29	food is a kind of substance	nongold
30	In the solution sugar water , the solute is sugar	nongold
31	salt water is a kind of solution	nongold
32	liquid is a kind of state of matter	nongold
33	physical state means state of matter	nongold
34	different is the opposite of the same	nongold
35	if a substance is mixed with another substance then those substances will undergo physical change	nongold
36	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
37	variable means able to change	nongold
38	state of matter means physical state	nongold
39	sugar water is a kind of solution	nongold
40	same means identical; equal in value; amount; number; quantity	nongold
41	different types of matter have different chemical properties	nongold
42	solid is a kind of state of matter	nongold
43	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
44	a type of something is a kind of property of that something	nongold
45	an increase is a kind of change	nongold
46	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
47	affected means changed	nongold
48	salt is made of salt crystals	nongold
49	if something undergoes a physical change then the physical properties of that something will change	nongold
50	a physical reaction is a kind of process	nongold
51	stay the same means not changing	nongold
52	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
53	a liquid is a kind of substance	nongold
54	a solution is formed by one substance being dissolved in another substance	nongold
55	neutralization is when an acid and a base react to form water and salt	nongold
56	the effects of something is a property of that something	nongold
57	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
58	identical is the opposite of different	nongold
59	a  solution  is a kind of object	nongold
60	a solution is made of one substance dissolved in another substance	nongold
61	a solution is a kind of mixture	nongold
62	water is a kind of substance	nongold
63	opposite is a kind of different	nongold
64	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
65	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
66	matter; materials; substances are made of atoms; particles	nongold
67	conductivity is a kind of physical property	nongold
68	water is a kind of matter	nongold
69	the chemistry of something is similar to what that something is made of	nongold
70	material means substance	nongold
71	all elements are a kind of pure substance	nongold
72	when two substances together form a compound then those substances cannot be physically separated	nongold
73	condition means the state of the property	nongold
74	high is similar to increase	nongold
75	a  chemical property is a kind of  property	nongold
76	an increase is the opposite of a decrease	nongold
77	water is a kind of compound	nongold
78	to change means to become different	nongold
79	if solids are combined physically , then the physical properties of the solids will stay the same	nongold
80	taste is a kind of property	nongold
81	phase means state	nongold
82	table sugar is a kind of sugar	nongold
83	sugary means high in sugar	nongold
84	reducing is a kind of change	nongold
85	substances are made of molecules	nongold
86	solution is a kind of liquid	nongold
87	staying means not changing	nongold
88	to add means to increase	nongold
89	a human is a kind of animal	nongold
90	a decrease is a kind of change	nongold
91	an object has properties	nongold
92	a product is a kind of object	nongold
93	matter is made of molecules	nongold
94	if something is made of something; a material then that something contains that something; that material	nongold
95	carbohydrates are made of sugars	nongold
96	a source of something emits; produces; generates; provides that something	nongold
97	formation of a state of matter is a kind of process	nongold
98	if an object is made of a material then that object has the properties of that material	nongold
99	heating salt water causes the water to evaporate while the salt remains	nongold
