Question	Which organ removes cell waste from the blood?	question
Answer	the kidney	answer
0	the kidney removes; filters bodily waste; cell waste; byproducts from the blood	gold
1	a kidney is a kind of organ in an animal	gold
2	a liver is a kind of organ	nongold
3	a liver is a part of an animal used in  digestion	nongold
4	waste must be removed	nongold
5	remove means decrease	nongold
6	the blood is a vehicle for moving chemical waste and excess water from the body to the kidneys	nongold
7	the stomach is a kind of organ	nongold
8	eliminate means remove	nongold
9	the liver is a part of the digestive system	nongold
10	if something transports something else then that something removes that something else from a place	nongold
11	all living things eliminate waste	nongold
12	excretion  is when  the excretory system removes waste from the body	nongold
13	cells are a part of the body	nongold
14	lysosomes process; eliminate cellular waste	nongold
15	dead organisms are a kind of waste	nongold
16	removing waste is a kind of function	nongold
17	removing an inhibitor of a process causes that process	nongold
18	an animal cell is a kind of cell	nongold
19	the kidney is located in the abdomen	nongold
20	a cell is very small	nongold
21	the body is a part of an organism	nongold
22	a human cell is a kind of cell	nongold
23	loss is similar to removal	nongold
24	get rid of means eliminate; remove	nongold
25	a cell absorbs nutrients	nongold
26	an animal is a kind of organism	nongold
27	an animal is a kind of living thing	nongold
28	if something comes from something else then that something else is a source of that something	nongold
29	organ system means body system	nongold
30	the liver is located in the abdomen	nongold
31	an organism is a living thing	nongold
32	a living thing is made of cells	nongold
33	the small intestine is a kind of organ	nongold
34	organs are made of different types of  cellular tissues	nongold
35	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
36	where something  comes from is a source of that something	nongold
37	a heart is a kind of organ	nongold
38	to be a source of something means to cause that something	nongold
39	clearing is similar to removing	nongold
40	a cell produces carbon dioxide for waste	nongold
41	if something is given off of something , then something is the product of something	nongold
42	if something causes a process then that something is required for that process	nongold
43	deplete is similar to decrease	nongold
44	the integumentary system is a kind of body; organ system	nongold
45	if something transfers something else then that something is a source of something else	nongold
46	processes sometimes produce waste products	nongold
47	removing something from something is a kind of interacting	nongold
48	requiring is similar to needing help	nongold
49	the function of something is what that something  is used to do	nongold
50	to provide something means to be the source of that something	nongold
51	the endocrine system is a kind of body; organ system	nongold
52	digestion of proteins occurs in the stomach; small intestine	nongold
53	a human cannot survive the loss of their liver	nongold
54	a human is a kind of animal	nongold
55	to emit means to release	nongold
56	if something releases something else then that something is the source of that something else	nongold
57	the parent cell is the original cell	nongold
58	an object; material; substance comes from that object or material's source	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	to give off means to be the source of	nongold
61	to give is similar to to cause	nongold
62	if something gains something from something else then that something else is a source of that something	nongold
63	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
64	the cell is the smallest unit of an organism that can perform all of the processes of life	nongold
65	a cell is a kind of object	nongold
66	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
67	form means kind	nongold
68	converting is similar to releasing	nongold
69	the digestive system is a kind of body; organ system	nongold
70	an animal needs to eat food for nutrients	nongold
71	internal organs are a part of the body	nongold
72	an organ system is made of different parts of the body working together	nongold
73	emit means produce	nongold
74	the waste of an animal contains nitrogen	nongold
75	make means produce	nongold
76	producing is similar to releasing	nongold
77	a producer is a kind of living thing	nongold
78	a part of a process means a stage in a process	nongold
79	answering questions requires information	nongold
80	an animal; living thing requires nutrients for survival	nongold
81	survive means live	nongold
82	survive means live	nongold
83	causing is a kind of function	nongold
84	high is similar to increase	nongold
85	producing is similar to causing	nongold
86	to add means to increase	nongold
87	all living things are made of cells according to the cell theory	nongold
88	digestion is when food is absorbed into the blood stream	nongold
89	affected means changed	nongold
90	a supply of something is a source of that something	nongold
91	a body system is a part of the body; an animal	nongold
92	to be formed by is similar to being produced by	nongold
93	sucking blood from an organism usually has a negative impact on that organism	nongold
94	to cause means to make	nongold
95	to be used for something means to be required by that something	nongold
96	converting is similar to producing	nongold
97	a food contains nutrients for living things	nongold
98	a process usually requires all of the stages in that process	nongold
99	made up of means contains; made of	nongold
