Question	Which atmospheric phenomena are created by the interaction of charged particles with Earth's magnetosphere?	question
Answer	auroras	answer
0	aurora is created by charged particles interacting with magnetosphere	gold
1	aurora is a kind of atmospheric phenomena	gold
2	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
3	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
4	thermosphere contains high-energy particles	nongold
5	charged particles are a kind of high-energy particles	nongold
6	a magnet is a kind of object	nongold
7	magnetism is a kind of physical property	nongold
8	to form means to create	nongold
9	to be formed by is similar to being produced by	nongold
10	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
11	if something contains a large amount of magnetic material then that something will attract magnets	nongold
12	Earth is a kind of planet	nongold
13	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
14	magnetism is a kind of force	nongold
15	magnetic force means magnetism	nongold
16	creating is similar to causing	nongold
17	atmospheric means of the atmosphere	nongold
18	to generate means to create	nongold
19	to produce means to create	nongold
20	thermosphere is a  layer of Earth's atmosphere	nongold
21	to be a source of something means to cause that something	nongold
22	magnetism is a kind of energy	nongold
23	atmosphere means  air	nongold
24	creating means making	nongold
25	a magnet contains a north pole; south pole	nongold
26	troposphere is a lower layer of Earth's atmosphere	nongold
27	an electron is a kind of charged particle	nongold
28	to create means to make	nongold
29	developing means creating; inventing	nongold
30	a source of something emits; produces; generates; provides that something	nongold
31	magnetism can cause objects to repel each other	nongold
32	products are formed; are produced; are created	nongold
33	causing means influencing	nongold
34	matter; materials; substances are made of atoms; particles	nongold
35	if something is made by something else then that something is affected by that something else	nongold
36	to be made of something means to be formed of that something	nongold
37	where something  comes from is a source of that something	nongold
38	can be means able to be	nongold
39	negatively charged particles are involved in chemical reactions	nongold
40	a molecule is a kind of particle	nongold
41	if something comes from something else then that something else is a source of that something	nongold
42	an event is a kind of action	nongold
43	to generate means to form	nongold
44	to cause the formation of means to form	nongold
45	to be formed means to be originated	nongold
46	to increase is similar to to create	nongold
47	a particle is a kind of object	nongold
48	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
49	particles in objects are a kind of matter	nongold
50	producing is similar to causing	nongold
51	solar energy transfer is a kind of interaction	nongold
52	an object; material; substance comes from that object or material's source	nongold
53	if two objects; two materials have the same charge then those two objects; those two materials will repel each other	nongold
54	the lithosphere is a kind of subsystem of Earth	nongold
55	if something is caused by something else , then that something can be explained by that something else	nongold
56	a photon is a kind of  particles	nongold
57	if something transfers something else then that something is a source of something else	nongold
58	an animal is a kind of living thing	nongold
59	Venus is a kind of planet	nongold
60	asthenosphere is a layer of the Earth	nongold
61	air is a kind of gas	nongold
62	a process is a kind of event	nongold
63	to cause something means to contribute to that something happening	nongold
64	a type is synonymous with a kind	nongold
65	the effects of something is a property of that something	nongold
66	to make means to form	nongold
67	the atmosphere contains gases; liquids; solids	nongold
68	emit means produce	nongold
69	composed of means made of	nongold
70	the atmosphere is a part of nature; the environment	nongold
71	removing something from something is a kind of interacting	nongold
72	objects are made of materials; substances; matter	nongold
73	to cause means to make	nongold
74	a motion is a kind of event; action	nongold
75	generate means produce	nongold
76	an electromagnet is a kind of electric magnet	nongold
77	the atmosphere of a planet holds heat	nongold
78	troposphere has the greatest density among the layers in the atmosphere	nongold
79	lithosphere is a  layer of the Earth	nongold
80	An example of interaction between hydrosphere and atmosphere is water vapor rising from oceans to form clouds	nongold
81	the atmosphere is a kind of area	nongold
82	forming is a kind of action	nongold
83	magnetism can affect objects that are not touching	nongold
84	a planet is a kind of celestial object; body	nongold
85	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	nongold
86	a physical property is a kind of property	nongold
87	form means kind	nongold
88	substances are made of elements	nongold
89	all elements are a kind of pure substance	nongold
90	to cause means to have an effect	nongold
91	Magnetite is always magnetic	nongold
92	a living thing is a kind of object	nongold
93	a horseshoe magnet is a kind of magnet	nongold
94	gas is a kind of substance	nongold
95	lithosphere is located on the surface of the earth	nongold
96	magnetic energy is a kind of energy	nongold
97	atoms are made of particles	nongold
98	events occur at a specific place; at a specific time; with a specific frequency	nongold
99	made up of means contains; made of	nongold
