Question	Which of these objects is visible because it reflects light toward the eye?	question
Answer	shiny metallic balloon	answer
0	a balloon is a kind of object	gold
1	shiny things; objects reflect light	gold
2	a balloon is a kind of container	nongold
3	metallic is similar to shiny	gold
4	if an object reflects light toward the eye then that object can be seen	gold
5	a balloon contains gas	nongold
6	a balloon is made of rubber	nongold
7	reflection is when light is reflected from one object; one place to  another object; another place	nongold
8	eyes are used for seeing by animals by sensing light	gold
9	eyes are a part of a human for seeing	nongold
10	light reflecting off of an object causes that object to be visible to the observer	nongold
11	reflecting light; sound is the opposite of absorbing light; sound	nongold
12	eyes can sense;detect light energy for seeing	nongold
13	visible means able to be seen	gold
14	visible light is a kind of  light	nongold
15	to reflect light means to scatter light	nongold
16	eyes are usually part of an animal for seeing	nongold
17	metal is a kind of substance	nongold
18	sight means to see	nongold
19	metal is a kind of material	nongold
20	a device is a kind of object	nongold
21	a container contains objects; material; substances	nongold
22	seeing is used for sensing visual things	nongold
23	objects are made of materials; substances; matter	nongold
24	a balloon is highly flexible	nongold
25	human eyes can only see light in the range of visible light	nongold
26	sight means vision	nongold
27	sunlight is a kind of light	nongold
28	viewing means observing light	nongold
29	the eyes are part of the head used for seeing	nongold
30	seeing requires light	nongold
31	observable means visible	nongold
32	sight is a kind of sense	nongold
33	if something is visible , then that something can be observed	nongold
34	luster is a property of  an object; a material and includes ordered values of dull; shiny	nongold
35	to see means to look	nongold
36	a bubble is a kind of object	nongold
37	reflection is a property of light	nongold
38	to look like means to have the visual properties of	nongold
39	if an object is made of a material then that object has the properties of that material	nongold
40	metal is reflective	nongold
41	to bounce back means to reflect	nongold
42	matter; materials; substances are made of atoms; particles	nongold
43	material means substance	nongold
44	can be means able to be	gold
45	if an object reflects more light then that object is more easily seen	nongold
46	light is a kind of wave	nongold
47	substances are made of matter	nongold
48	if an object is white then that object reflects all visible light	nongold
49	light means light energy	nongold
50	a container is a kind of object	nongold
51	materials are made of matter	nongold
52	a living thing is a kind of object	nongold
53	an object has properties	nongold
54	form means kind	nongold
55	polished metal has shiny surface	nongold
56	light enters the eye through the pupil	nongold
57	to view means to see	nongold
58	instrument means device	nongold
59	towards means closer to something	nongold
60	a bubble contains gas	nongold
61	a white object reflects all visible light	nongold
62	UV light is a kind of light	nongold
63	optical tools are used for observing materials up close; in greater detail	nongold
64	glass; objects made of glass cause refraction of light	nongold
65	the atmosphere contains matter that reflects blue light	nongold
66	an part of an object is smaller than the entire object	nongold
67	a surface is a part of an object	nongold
68	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
69	light is made of photons	nongold
70	air is a kind of medium for light	nongold
71	if an object is in the light then that object is blocking the light	nongold
72	an image in a mirror is formed by reflecting light	nongold
73	a surface is a part of a material	nongold
74	to be formed by is similar to being produced by	nongold
75	device means tool	nongold
76	a type is synonymous with a kind	nongold
77	a metal is usually a solid at room temperature	nongold
78	a liquid is a kind of substance	nongold
79	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
80	magnifying glass is used to see  small things by making objects appear bigger	nongold
81	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
82	not visible means cannot be seen	nongold
83	a metal is a kind of element	nongold
84	a source of something emits; produces; generates; provides that something	nongold
85	an element is a kind of material	nongold
86	particles in objects are a kind of matter	nongold
87	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
88	gas is a kind of object	nongold
89	emit means produce	nongold
90	looking is similar to observing	nongold
91	air is invisible	nongold
92	metals are made of metal	nongold
93	image means visual depiction of an object	nongold
94	if an object is translucent , then some light will scatter	nongold
95	composed of means made of	nongold
96	aluminum is a kind of matter	nongold
97	gas is a kind of material	nongold
98	toward is the opposite of away	nongold
99	a retina is part of an eye for sensing light	nongold
