Question	Which of the following is a reason life in the outermost planets is less likely than life on planets nearer the Sun?	question
Answer	Their surfaces are extremely cold.	answer
0	cold means low in temperature	nongold
1	if a living thing becomes too cold then that living thing will die	nongold
2	life means living things	gold
3	the surface of the sun is extremely hot in temperature with values as high as 20 000 000 ° C	nongold
4	as distance from the sun increases , planetary temperature will decrease	nongold
5	temperature is a measure of heat energy	nongold
6	more likely means increased likelihood	nongold
7	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
8	cold temperatures usually have a negative impact on organisms	nongold
9	something in a cold place becomes cold	nongold
10	cold is a kind of weather	nongold
11	heat means temperature increases	nongold
12	closer means lower; less; a decrease in distance	nongold
13	less is similar to decrease	nongold
14	outermost is similar to distant	gold
15	a planet is a kind of celestial object; body	gold
16	often is similar to likely	nongold
17	an increase is the opposite of a decrease	nongold
18	the sun is a source of radiation; heat called sunlight	gold
19	a cause of something is a reason for that something	nongold
20	become cold means get cold	nongold
21	the sun is average in temperature  for a star in our galaxy	nongold
22	heat means heat energy	nongold
23	the Sun is a kind of star	nongold
24	colder; cooler means lower in temperature	nongold
25	Antarctica is extremely cold in temperature	nongold
26	to lower means to decrease	nongold
27	increase means more	gold
28	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
29	less means a reduced amount	nongold
30	low is similar to decrease	nongold
31	an animal; living thing requires nutrients for survival	nongold
32	near; close is the opposite of far; away	gold
33	high is similar to increase	nongold
34	an organism is a living thing	gold
35	extreme means very high in value	nongold
36	less is the opposite of more	nongold
37	nonliving; non-living; die is the opposite of living; alive; live	nongold
38	Earth is a planet that is closer to the  Sun than Jupiter	nongold
39	to reduce means to decrease	nongold
40	temperature is a kind of condition	nongold
41	an animal is a kind of organism	nongold
42	to cause an event means to make that event more likely	nongold
43	to depend on; to rely on; to need means to require	nongold
44	a human is a kind of animal	nongold
45	a lack of something that a living thing requires prevents the survival of that living thing	nongold
46	death means to die	nongold
47	if a planet cannot hold heat then that planet will have a large range of temperatures	nongold
48	Mars is a kind of inner planet	nongold
49	an animal usually requires a warm body temperature for survival	nongold
50	a planet is a kind of location	nongold
51	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
52	harming something has a  negative impact on; effect on that something	nongold
53	as the sun sets , the temperature will decrease	nongold
54	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
55	cool means cold	nongold
56	Earth is a kind of planet	nongold
57	a surface is a part of an object	gold
58	an animal requires warmth for survival	nongold
59	a negative impact is a kind of consequence; risk	nongold
60	if something is  cold in temperature , then something will be cold to touch	nongold
61	dying is the opposite of living; surviving	nongold
62	an animal is a kind of living thing	nongold
63	cooling;colder means removing;reducing;decreasing heat;temperature	gold
64	a plant; living thing requires food for survival	nongold
65	if a planet becomes too hot then that planet cannot sustain life	nongold
66	intense heat has a negative impact on an organism	nongold
67	hot means high in heat energy; temperature	nongold
68	lower means less	nongold
69	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
70	if something exists on a surface then that surface contains that something	nongold
71	a planet is a kind of place	nongold
72	negative impact is the opposite of positive impact	nongold
73	as the cause of something decreases , that something will decrease	nongold
74	cold environments usually have little food for animals	nongold
75	a decrease is a kind of change	nongold
76	as distance from an object decreases , the the pull of gravity on that object increases	nongold
77	warmer means greater; higher in temperature; warmth	nongold
78	cooler means colder	nongold
79	a living thing is a kind of object	nongold
80	cold environments contain few organisms	gold
81	a star is a kind of celestial object; celestial body	nongold
82	keeping warm is the opposite of becoming  cold	nongold
83	a surface is a kind of object	nongold
84	extreme temperatures cause an organism's energy levels to decrease	nongold
85	far is the opposite of close	nongold
86	temperature is a property of weather	nongold
87	an increase is a kind of change	nongold
88	temperature drop means become colder	nongold
89	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
90	a warm environment usually has more food than a cold environment	nongold
91	a source of something increases the amount of that something	nongold
92	the Sun is the  star that is closest to Earth	nongold
93	fewer means lower; less in number	gold
94	if a living thing requires something then that something has a positive impact on that living thing	nongold
95	not is similar to the opposite of	nongold
96	a planet is exposed to the heat of the star around which it revolves	nongold
97	Jupiter is a kind of outer planet	nongold
98	to impact means to affect	nongold
99	survive means live	nongold
