Question	Scientists dig in a dry area at the bottom of a mountain range. Fossilized shells of freshwater mussels are found in the area. Which is a likely conclusion that scientists will draw based on this evidence?	question
Answer	Rivers once flowed through the area.	answer
0	a river is a kind of flowing body of water	gold
1	shells can be fossilized	nongold
2	mussels are a kind of aquatic animal	nongold
3	freshwater is a kind of water	nongold
4	aquatic animals; plants live in bodies of water	nongold
5	a mussel is a kind of water animal	gold
6	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	gold
7	fossil means preserved remains of ancient organisms	nongold
8	mountain area means mountain range	nongold
9	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	gold
10	a shell is a kind of fossil	nongold
11	aquatic animal means water animal	nongold
12	an aquatic animal is a kind of animal	nongold
13	a mollusk is a kind of animal	nongold
14	a mountain; mountain range is a kind of environment	nongold
15	flowing is a kind of motion	nongold
16	a body of water is a kind of environment	nongold
17	many mountain ranges are no longer covered in water	nongold
18	dry means low in amount of water; wetness; moisture	nongold
19	a shell is a part of some animals	nongold
20	an environment means an area	nongold
21	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
22	a stream is a kind of body of water	nongold
23	to conclude means to make a conclusion	nongold
24	found in means existing in	nongold
25	once means one time	nongold
26	an animal is a kind of living thing	nongold
27	a body of water contains water	nongold
28	fresh water means freshwater	nongold
29	if something is a part of something then that something can be found in that something	nongold
30	area is similar to location	nongold
31	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
32	a mountain is a kind of landform	nongold
33	a riverbed is a part of a river	nongold
34	a mountain is made of rocks; soil	nongold
35	a mountain range contains mountains	nongold
36	a body of water is a source of water	nongold
37	region is similar to range	nongold
38	a living thing is a kind of object	nongold
39	place means area	gold
40	to be found in means to be contained in	nongold
41	fossil fuels; fossils are formed from dead organisms over time	nongold
42	water is a part of an environment	nongold
43	the surface of the Earth contains mountains	nongold
44	plants can be fossilized	nongold
45	a river is a kind of channel for water	nongold
46	a scientist is a kind of human	nongold
47	drying means amount of water; amount of liquid; wetness decreases	nongold
48	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
49	prehistoric means before 300000000 years ago	nongold
50	a region is similar to an environment	nongold
51	once-living means dead	nongold
52	often is similar to likely	nongold
53	preserved means from the past; from long ago	nongold
54	an environment is a kind of place	nongold
55	mussels eat plankton	nongold
56	usually something can be found  near a source in greater concentrations	nongold
57	organisms are a part of an environment	nongold
58	a fish is a kind of aquatic animal	nongold
59	an animal is a kind of organism	nongold
60	sediment falls to the bottom of bodies of water	nongold
61	if something is located  in somewhere , then something can be found in somewhere	nongold
62	remains mean parts of a dead organism	nongold
63	a body of water is a kind of land feature	nongold
64	if something does not move then that something can be found in the same location	nongold
65	a region is a kind of location	nongold
66	concluding is a kind of action	nongold
67	a landform is a kind of place	nongold
68	a landform is a kind of place	nongold
69	landform means surface feature; physical feature; land feature	nongold
70	a mountain is a kind of land feature	nongold
71	organisms lived in the water when they first appeared on Earth	nongold
72	a fish lives in water	nongold
73	groundwater is a kind of water	nongold
74	flowing is a kind of action	nongold
75	a reptile is a kind of animal	nongold
76	ancient means a long time in the past	nongold
77	if something is located in some place , then the presence of that something can be found in that location	nongold
78	freshwater is drinkable	nongold
79	if water vapor is limited to reach a location , then that location    will be dry	nongold
80	a dry environment is low in availability of water	nongold
81	mountain top is a kind of location	nongold
82	region means place	nongold
83	hypothesis means scientific guess about the cause and effect of an event	nongold
84	if something required by something else is in a place then that something else may be in that place	nongold
85	bodies of water are located on Earth's surface	nongold
86	an organism is a living thing	nongold
87	an ocean is a kind of body of water	nongold
88	objects in an environment are a part of that environment	nongold
89	organisms can be found in their habitats	nongold
90	a valley is formed by a river flowing	nongold
91	a snail is a kind of animal	nongold
92	no longer means used to be	nongold
93	mountain is a kind of geographic obstacles	nongold
94	the bottom is the lowest part of something	nongold
95	place is synonymous with location	nongold
96	water is a kind of substance	nongold
97	scientists make observations	nongold
98	something that contains water is similar to a body of water	nongold
99	a lake is a kind of body of water	nongold
