Question	A manufacturer wants to produce a container for food storage that does not break easily and is airtight, inexpensive, and microwave-safe. Which of the following is the best material to use to make the container?	question
Answer	plastic	answer
0	plastic is microwave-safe	gold
1	microwave-safe is when a material can be microwaved safely	gold
2	plastic is a kind of material made by humans	gold
3	if an object is durable , then that object will not break easily	nongold
4	materials are used for making products by manufacturers	nongold
5	manufacture means make	nongold
6	make means produce	nongold
7	plastic is a kind of thermal insulator	nongold
8	plastic is cheap	gold
9	if something is strong then that something  does not break easily	gold
10	a container is a kind of object	nongold
11	plastic is high in strength	gold
12	cheap is similar to inexpensive	gold
13	safe is the opposite of unsafe; harm; danger	nongold
14	a container contains objects; material; substances	nongold
15	best means most positive	nongold
16	plastic is recyclable	nongold
17	food is a kind of substance	nongold
18	manufacturing means making	nongold
19	a producer is a kind of living thing	nongold
20	cheap means low in cost	nongold
21	to produce means to provide	nongold
22	to store means to hold	nongold
23	if an object is made of a material then that object has the properties of that material	nongold
24	to protect means to make safe	nongold
25	if something breaks , then that something cannot be used	nongold
26	food is a kind of object	nongold
27	airtight is when air cannot pass through something	gold
28	better means good	nongold
29	a producer produces its own food	nongold
30	an insulator is the opposite of a conductor	nongold
31	a product is a kind of object	nongold
32	metal is a thermal; thermal energy conductor	nongold
33	production is similar to making	nongold
34	material means substance	nongold
35	providing something means making;delivering something	nongold
36	air is usually a thermal; thermal energy insulator	nongold
37	to be used for something means to be required by that something	nongold
38	plastic is durable	nongold
39	harming something has a  negative impact on; effect on that something	nongold
40	making products for cheaper has a positive impact on manufacturing	nongold
41	an oven is a source of heat	nongold
42	producing is a kind of process	nongold
43	plastic is a nonrenewable resource	nongold
44	metal is a kind of material	nongold
45	helping means something can be done; completed more easily; better	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
48	high-quality means positive	nongold
49	a microwave cooks food faster than an oven does	nongold
50	contents means the substance in a container	nongold
51	a good conductor is a conductor	nongold
52	emit means produce	nongold
53	protecting something means preventing harm to that something	nongold
54	good means positive	nongold
55	microwaves harm people that have pacemakers	nongold
56	microwave radiation is used for heating food by microwaves by heating water molecules in the food	nongold
57	something hard; something strong can be used for protection	nongold
58	converting is similar to producing	nongold
59	an oven is a kind of electrical device	nongold
60	protection means resistance to damage increases	nongold
61	an insulator is a kind of material	nongold
62	an object has properties	nongold
63	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
64	negative impact is the opposite of positive impact	nongold
65	to break down means to break into smaller pieces	nongold
66	producers pass materials they use through the food chain	nongold
67	durability is a property of materials; objects and includes ordered values of durable; not durable	nongold
68	something dangerous can cause harm	nongold
69	to help; to benefit means to be of use	nongold
70	insulator means good insulator	nongold
71	surfaces sometimes cause objects to break	nongold
72	water-resistance is a property of objects; matter and includes ordered values of water-resistant; not water-resistant	nongold
73	a device is a kind of object	nongold
74	an object is an item	nongold
75	something harmful can cause harm	nongold
76	objects are made of materials; substances; matter	nongold
77	a consumer can not produce its own food	nongold
78	provide is similar to give; make	nongold
79	a type is synonymous with a kind	nongold
80	person is synonymous with human	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	cheaper means lower in cost	nongold
83	high is similar to increase	nongold
84	damage means harm	nongold
85	produce is similar to release	nongold
86	rubber is thermal;thermal energy insulator	nongold
87	to cause means to make	nongold
88	to be formed by is similar to being produced by	nongold
89	form means kind	nongold
90	food spoiling has a negative impact on storing that food	nongold
91	if something causes a process then that something is required for that process	nongold
92	keeping is similar to storing	nongold
93	helping something has a  positive impact on that something	nongold
94	to slow; to slow down decreases speed	nongold
95	to produce means to create	nongold
96	low is similar to decrease	nongold
97	temperature is a measure of heat energy	nongold
98	adverse effect means negative impact	nongold
99	if a material dents easily then that material has low strength	nongold
