Question	Natural processes shape the surface of Earth. Most canyons are formed by ___.	question
Answer	moving water	answer
0	most canyons are formed by flowing rivers through erosion over long periods of time	gold
1	a canyon is made of rock	gold
2	a canyon is a kind of landform	nongold
3	a canyon is a very deep valley	nongold
4	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
5	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	gold
6	a river is a kind of flowing body of water	gold
7	a canyon is a very big crack in the ground	nongold
8	a valley is formed by a river flowing	nongold
9	a canyon forming occurs over a period of millions of years	nongold
10	sinkholes; caves are formed by precipitation; infiltration	nongold
11	soil erosion is a kind of slow; natural process	nongold
12	a canyon is a kind of place	nongold
13	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
14	motion; movement means moving; to move	nongold
15	a landform is a kind of natural formation	nongold
16	erosion is a kind of process	nongold
17	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	gold
18	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
19	a landslide is a kind of natural event	nongold
20	to cause the formation of means to form	nongold
21	the formation of something is a kind of process	nongold
22	flowing is a kind of motion	gold
23	the formation of rock is a kind of process	nongold
24	weathering; erosion usually occurs over a period of many years	nongold
25	a stream is a kind of body of water	nongold
26	erosion; storms can cause a landslide	nongold
27	weathering is a kind of erosion	gold
28	to be made of something means to be formed of that something	nongold
29	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
30	the Grand Canyon is a kind of canyon	nongold
31	weathering is a kind of process	gold
32	sediment is formed by weathering	nongold
33	soil erosion means soil loss through wind;water; animals	nongold
34	a cavern is a kind of land form	nongold
35	breaking down is a kind of forming	gold
36	landslides often occur on mountains	nongold
37	motion is when moves an object; something to a direction	nongold
38	weathering occurs at the surface of the Earth	nongold
39	a river is a kind of channel for water	nongold
40	valley is located between mountains; hills	nongold
41	form means kind	nongold
42	landform means surface feature; physical feature; land feature	nongold
43	natural events usually cause changes to Earth's surface	nongold
44	bodies of water are located on Earth's surface	nongold
45	the Grand Canyon was formed by the Colorado River flowing over long periods of time	nongold
46	a motion is a kind of event; action	nongold
47	a riverbed is a part of a river	nongold
48	moving is similar to travelling	nongold
49	a landform is a kind of object	nongold
50	soil erosion is a kind of event	nongold
51	sometimes weathering smooths; rounds rocks	nongold
52	soil is formed by weathering	nongold
53	soil is formed by rocks eroding	nongold
54	erosion causes a river to become deeper and wider	nongold
55	water  flows down a slope	nongold
56	Earth's surface is made of rock	nongold
57	to make means to form	nongold
58	a surface is a kind of object	nongold
59	to form means to create	nongold
60	a surface is a part of an object	nongold
61	state means form	nongold
62	to change into means to form	nongold
63	groundwater is a kind of water	nongold
64	a channel contains moving water	nongold
65	ground water is a kind of water	nongold
66	the ground means Earth's surface	nongold
67	Earth is made of rock	nongold
68	travel means to move	nongold
69	most means over 50% of something	nongold
70	a process is a kind of event	nongold
71	valley is a kind of location	nongold
72	a tunnel is a kind of hole	nongold
73	an earthquake is a kind of natural; geological event	nongold
74	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
75	to be formed by is similar to being produced by	nongold
76	formation of a state of matter is a kind of process	nongold
77	a body of water contains water	nongold
78	mechanical weathering is when rocks are broken down by mechanical means	nongold
79	furthest; farthest means greatest; most; highest in distance	nongold
80	water is a kind of substance	nongold
81	water is a kind of object	nongold
82	erosion is a kind of change	nongold
83	water causes the most soil and rock erosion	nongold
84	surface area is a property of shape	nongold
85	answering questions requires information	nongold
86	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
87	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
88	a rock is a kind of object	nongold
89	sediment is a kind of matter	nongold
90	when a river floods , that river deposits soil; sediment in flood plains	nongold
91	a terrain contains a surface	nongold
92	extreme heat and pressure compact sediment into sedimentary rock	nongold
93	sedimentary rocks are formed by deposition; cementation	nongold
94	depth is a property of the shape of an object	nongold
95	structure is similar to shape	nongold
96	if something exists on a surface then that surface contains that something	nongold
97	largest amount means most	nongold
98	the rock cycle is a cyclical process, with stages of formation, weathering	nongold
99	breaking down into pieces is a kind of change in shape	nongold
